face_images_1,face_images_2,pos_1,pos_2,trials_30.thisRepN,trials_30.thisTrialN,trials_30.thisN,trials_30.thisIndex,main_1.thisRepN,main_1.thisTrialN,main_1.thisN,main_1.thisIndex,main_2.thisRepN,main_2.thisTrialN,main_2.thisN,main_2.thisIndex,main_3.thisRepN,main_3.thisTrialN,main_3.thisN,main_3.thisIndex,main_4.thisRepN,main_4.thisTrialN,main_4.thisN,main_4.thisIndex,thisRow.t,notes,Instruction.started,text_Welcome.started,key_space.started,Instruction.stopped,key_space.keys,key_space.rt,key_space.duration,gap.started,text_gap.started,gap.stopped,plus.started,plus__.started,plus.stopped,trial_30.started,image_1.started,image_2.started,trial_resp.started,image_1.stopped,image_2.stopped,trial_30.stopped,trial_resp.keys,trial_resp.rt,trial_resp.duration,Instruction_1.started,text_instruct.started,space_resp.started,Instruction_1.stopped,space_resp.keys,space_resp.rt,space_resp.duration,gap_1.started,gap__1.started,gap_1.stopped,plus_1.started,plus__1.started,plus_1.stopped,Block_1.started,image_1_set_1.started,image_2_set_1.started,resp_1.started,image_1_set_1.stopped,image_2_set_1.stopped,Block_1.stopped,resp_1.keys,resp_1.rt,resp_1.duration,Instuct_2.started,text_block2.started,space_resp_2.started,Instuct_2.stopped,space_resp_2.keys,space_resp_2.rt,space_resp_2.duration,gap_2.started,gap__2.started,gap_2.stopped,plus_2.started,plus__2.started,plus_2.stopped,Block_2.started,image_1_set_2.started,image_2_set_2.started,resp_2.started,image_1_set_2.stopped,image_2_set_2.stopped,Block_2.stopped,resp_2.keys,resp_2.rt,resp_2.duration,Instruct_3.started,text_block3.started,space_resp_3.started,Instruct_3.stopped,space_resp_3.keys,space_resp_3.rt,space_resp_3.duration,gap_3.started,gap__3.started,gap_3.stopped,plus_3.started,plus__3.started,plus_3.stopped,Block_3.started,image_1_set_3.started,image_2_set_3.started,resp_3.started,image_1_set_3.stopped,image_2_set_3.stopped,Block_3.stopped,resp_3.keys,resp_3.rt,resp_3.duration,Instruct_4.started,text_block4.started,space_resp_4.started,Instruct_4.stopped,space_resp_4.keys,space_resp_4.rt,space_resp_4.duration,gap_4.started,gap__4.started,gap_4.stopped,plus_4.started,plus___4.started,plus_4.stopped,Block_4.started,image_1_set_4.started,image_2_set_4.started,resp_4.started,image_1_set_4.stopped,image_2_set_4.stopped,Block_4.stopped,resp_4.keys,resp_4.rt,resp_4.duration,end.started,text_3.started,text_3.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.005054399953223765,0.007354400004260242,0.007354400004260242,27.604817899991758,['space'],[27.581664900062606],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/18n.tiff,images/5n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,0,0,13,,,,,,,,,,,,,,,,,27.613092899904586,,,,,,,,,27.611350699909963,27.613092899904586,28.106462799943984,28.106491999933496,28.119735299958847,28.306376299937256,28.306405099923722,28.3440094999969,28.3440094999969,28.3440094999969,28.839510699966922,28.839510699966922,29.42719989991747,['m'],[1.0693221000256017],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/10n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,1,1,11,,,,,,,,,,,,,,,,,29.439345799968578,,,,,,,,,29.428676299983636,29.439345799968578,29.932457399903797,29.932487899903208,29.94570279994514,30.132396599976346,30.13244359998498,30.16083119995892,30.16083119995892,30.16083119995892,30.66555699997116,30.66555699997116,31.493201199918985,['z'],[1.324302799999714],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/10n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,2,2,10,,,,,,,,,,,,,,,,,31.505223299958743,,,,,,,,,31.494116499903612,31.505223299958743,31.998614899930544,31.998645499930717,32.011650200001895,32.1981788999401,32.198191099916585,32.214488399913535,32.214488399913535,32.214488399913535,32.71828429994639,32.71828429994639,33.82557290000841,['m'],[1.599012800026685],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/10n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,3,3,24,,,,,,,,,,,,,,,,,33.83776369993575,,,,,,,,,33.82628549996298,33.83776369993575,34.33097469992936,34.33100599993486,34.34433419990819,34.530993399908766,34.531024399911985,34.551078099990264,34.551078099990264,34.551078099990264,35.05064189992845,35.05064189992845,35.5455748999957,['z'],[0.9899482000619173],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/4n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,4,4,19,,,,,,,,,,,,,,,,,35.55717329995241,,,,,,,,,35.5464115999639,35.55717329995241,36.05042689992115,36.05045609991066,36.063698099926114,36.25043449993245,36.25046339991968,36.268751699943095,36.268751699943095,36.268751699943095,36.7700923999073,36.7700923999073,37.023792299907655,['z'],[0.7441864999709651],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/10n.tiff,images/5n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,5,5,27,,,,,,,,,,,,,,,,,37.036573999910615,,,,,,,,,37.02413379994687,37.036573999910615,37.53022059996147,37.53025379998144,37.5434191999957,37.72996089991648,37.72999299992807,37.75468509993516,37.75468509993516,37.75468509993516,38.263083999976516,38.263083999976516,38.86428259999957,['m'],[1.0988049000734463],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/18n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,6,6,25,,,,,,,,,,,,,,,,,38.87621479993686,,,,,,,,,38.86530199996196,38.87621479993686,39.36936629994307,39.369393699918874,39.38261979992967,39.56918839993887,39.569217399926856,39.58946549997199,39.58946549997199,39.58946549997199,40.089005399961025,40.089005399961025,40.382862699916586,['z'],[0.7841536999912933],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/18n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,7,7,15,,,,,,,,,,,,,,,,,40.395530299982056,,,,,,,,,40.3831609999761,40.395530299982056,40.88890519994311,40.888935999944806,40.902227899990976,41.08874619996641,41.08877469995059,41.10775109997485,41.10775109997485,41.10775109997485,41.60843379993457,41.60843379993457,41.849642899935134,['z'],[0.7377785999560729],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/5n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,8,8,4,,,,,,,,,,,,,,,,,41.86185389989987,,,,,,,,,41.85029939992819,41.86185389989987,42.35498840000946,42.35500699991826,42.36812599992845,42.55521779996343,42.555248599965125,42.57429159991443,42.57429159991443,42.57429159991443,43.07478349993471,43.07478349993471,43.3557271999307,['m'],[0.7748191000428051],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
