face_images_1,face_images_2,trial_resp.keys,trial_resp.rt,resp_1.keys,resp_1.rt,resp_2.keys,resp_2.rt,resp_3.keys,resp_3.rt,resp_4.keys,resp_4.rt
,,,,,,,,,,,
images/18n.tiff,images/18n.tiff,['z'],[3.397905499999979],,,,,,,,
images/5n.tiff,images/4n.tiff,['m'],[2.105111299999976],,,,,,,,
images/4n.tiff,images/10n.tiff,['m'],[1.9636401999999862],,,,,,,,
images/5n.tiff,images/4n.tiff,['m'],[1.965341599999988],,,,,,,,
images/5n.tiff,images/10n.tiff,['m'],[11.616839300000038],,,,,,,,
images/18n.tiff,images/10n.tiff,['m'],[1.9763766999999461],,,,,,,,
images/4n.tiff,images/10n.tiff,['m'],[1.8593107000000373],,,,,,,,
images/18n.tiff,images/10n.tiff,['m'],[1.7496906999999737],,,,,,,,
images/5n.tiff,images/18n.tiff,['m'],[1.6024527999999236],,,,,,,,
images/10n.tiff,images/10n.tiff,['z'],[1.604154900000026],,,,,,,,
images/10n.tiff,images/4n.tiff,['m'],[1.5960956000000124],,,,,,,,
images/18n.tiff,images/4n.tiff,['m'],[3.981509800000026],,,,,,,,
images/18n.tiff,images/4n.tiff,['z'],[3.368394799999919],,,,,,,,
images/5n.tiff,images/18n.tiff,['m'],[1.5177086999999574],,,,,,,,
images/10n.tiff,images/18n.tiff,['m'],[1.6198504000000185],,,,,,,,
images/10n.tiff,images/5n.tiff,['m'],[1.7525824000000512],,,,,,,,
images/4n.tiff,images/5n.tiff,['m'],[1.6122344999999996],,,,,,,,
images/5n.tiff,images/5n.tiff,['z'],[1.6248709999999846],,,,,,,,
images/4n.tiff,images/5n.tiff,['m'],[1.4916448000000173],,,,,,,,
images/18n.tiff,images/18n.tiff,['z'],[1.444060899999954],,,,,,,,
images/18n.tiff,images/5n.tiff,['m'],[1.4855681999999888],,,,,,,,
images/4n.tiff,images/4n.tiff,['z'],[1.479325499999959],,,,,,,,
images/4n.tiff,images/18n.tiff,['m'],[1.949256699999978],,,,,,,,
images/5n.tiff,images/5n.tiff,['z'],[1.4912941000000046],,,,,,,,
images/10n.tiff,images/5n.tiff,['m'],[1.6916660999999067],,,,,,,,
images/4n.tiff,images/4n.tiff,['z'],[1.4203435000000582],,,,,,,,
images/10n.tiff,images/18n.tiff,['m'],[1.3657676999999921],,,,,,,,
images/10n.tiff,images/10n.tiff,['z'],[1.6591461000000436],,,,,,,,
images/5n.tiff,images/10n.tiff,['m'],[1.4521665000000894],,,,,,,,
images/4n.tiff,images/18n.tiff,['m'],[3.6289887000000363],,,,,,,,
,,,,,,,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[2.885452600000008],,,,,,
images/5n.tiff,images/10n.tiff,,,['m'],[1.4676468000000114],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.8416515000000118],,,,,,
images/10n.tiff,images/5n.tiff,,,['m'],[1.4923681000000215],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.4037485999999717],,,,,,
images/10n.tiff,images/10n.tiff,,,['m'],[1.6481842000000597],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.6302173999999923],,,,,,
images/10n.tiff,images/5n.tiff,,,['m'],[2.171151899999927],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.5527577000000292],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.5344407999999703],,,,,,
images/5n.tiff,images/10n.tiff,,,['m'],[1.3570226000000503],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.4092117000000144],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[3.1717859000000317],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.4427224999999453],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.4358056000000943],,,,,,
images/10n.tiff,images/5n.tiff,,,['m'],[2.8781970999999658],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.4897304999999506],,,,,,
images/5n.tiff,images/10n.tiff,,,['m'],[1.2684432999999444],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.3670505000000048],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.8041917000000467],,,,,,
images/10n.tiff,images/5n.tiff,,,['m'],[4.431057799999962],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.9956174000000146],,,,,,
images/5n.tiff,images/10n.tiff,,,['m'],[2.3073356999999532],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[3.429591099999925],,,,,,
images/10n.tiff,images/5n.tiff,,,['m'],[1.9678063999999722],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.2929950999999846],,,,,,
images/5n.tiff,images/10n.tiff,,,['m'],[1.2453684999999268],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.447077400000012],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[3.2410315000000764],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.4268654999999626],,,,,,
images/5n.tiff,images/10n.tiff,,,['m'],[2.131486999999993],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.5310323999999582],,,,,,
images/10n.tiff,images/5n.tiff,,,['m'],[2.010192200000006],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.7977951000000303],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.4786957999999686],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.6654206000000613],,,,,,
images/10n.tiff,images/5n.tiff,,,['m'],[1.7298159000000624],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.911299500000041],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.533260999999925],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.741952099999935],,,,,,
images/5n.tiff,images/10n.tiff,,,['m'],[1.4360492999999224],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.3239347999999609],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[2.8665613000000576],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.3735940999999912],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.970593000000008],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.373579100000029],,,,,,
images/10n.tiff,images/5n.tiff,,,['m'],[1.3795815999999377],,,,,,
images/5n.tiff,images/10n.tiff,,,['m'],[1.5356320999999298],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.2854171999999835],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.477170000000001],,,,,,
images/10n.tiff,images/5n.tiff,,,['m'],[1.2515642000000753],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.3258740999999645],,,,,,
images/5n.tiff,images/10n.tiff,,,['m'],[1.2518158999999969],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.286091899999974],,,,,,
images/5n.tiff,images/10n.tiff,,,['m'],[1.8528478000000632],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.3673071000000618],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[2.0700144999999566],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.301679599999943],,,,,,
images/10n.tiff,images/5n.tiff,,,['m'],[1.3175260000000435],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.5243272999999817],,,,,,
,,,,,,,,,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.815048000000047],,,,
