face_images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,instruct_resp.started,instructions.stopped,instruct_resp.keys,instruct_resp.rt,instruct_resp.duration,trial.started,image.started,valence_text.started,valence_slider.started,valence_text.stopped,valence_slider.stopped,arousal_text.started,arousal_slider.started,arousal_text.stopped,arousal_slider.stopped,emo_intense_text.started,emotional_intensity_slider.started,emo_intense_text.stopped,emotional_intensity_slider.stopped,familiar_text.started,familiarity_slider.started,familiar_text.stopped,familiarity_slider.stopped,emo_express_text.started,emotion_express_slider.started,emo_express_text.stopped,trial.stopped,valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,emotional_intensity_slider.response,emotional_intensity_slider.rt,familiarity_slider.response,familiarity_slider.rt,emotion_express_slider.response,emotion_express_slider.rt,end.started,text_2.started,text_2.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.013040799996815622,0.016310600010911003,0.016310600010911003,49.09086890000617,space,49.05759820001549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2024-08-03_15h55.01.097,2nd_exp,2024.1.5,None,2024-08-03 15h55.17.899513 +0530,
images/5h.tiff,0,0,0,4,49.28510430001188,,,,,,,,,49.09639049999532,49.28510430001188,49.28510430001188,49.28510430001188,68.05217919999268,68.05217919999268,68.05217919999268,68.05217919999268,76.84913250000682,76.84913250000682,76.84913250000682,76.84913250000682,90.97780240001157,90.97780240001157,90.97780240001157,90.97780240001157,95.8561636999948,95.8561636999948,95.8561636999948,95.8561636999948,101.58390629998758,101.44683560001431,2.0,18.915698800003156,6.0,27.669501900003524,6.0,41.770263800019166,7.0,46.620631799974944,1.0,52.1886697000009,,,,,,001,2024-08-03_15h55.01.097,2nd_exp,2024.1.5,None,2024-08-03 15h55.17.899513 +0530,
images/4.tiff,0,1,1,0,101.58390629998758,,,,,,,,,101.44725940001081,101.58390629998758,101.58390629998758,101.58390629998758,115.68969420000212,115.68969420000212,115.68969420000212,115.68969420000212,132.44387290001032,132.44387290001032,132.44387290001032,132.44387290001032,137.54917499999283,137.54917499999283,137.54917499999283,137.54917499999283,140.58817719999934,140.58817719999934,140.58817719999934,140.58817719999934,144.68715990000055,144.55290710000554,3.0,14.20755530000315,3.0,30.92777459998615,5.0,36.0067908000201,7.0,39.02736509998795,2.0,42.977191599988146,,,,,,001,2024-08-03_15h55.01.097,2nd_exp,2024.1.5,None,2024-08-03 15h55.17.899513 +0530,
images/18.tiff,0,2,2,9,144.68715990000055,,,,,,,,,144.5531703000015,144.68715990000055,144.68715990000055,144.68715990000055,157.10272809999879,157.10272809999879,157.10272809999879,157.10272809999879,163.52716840000357,163.52716840000357,163.52716840000357,163.52716840000357,169.2986455000064,169.2986455000064,169.2986455000064,169.2986455000064,170.83163659999263,170.83163659999263,170.83163659999263,170.83163659999263,174.98305839998648,174.84918160000234,2.0,12.516184599982807,3.0,18.906600899994373,7.0,24.653261600004043,7.0,26.167270499980077,2.0,30.170709500001976,,,,,,001,2024-08-03_15h55.01.097,2nd_exp,2024.1.5,None,2024-08-03 15h55.17.899513 +0530,
images/18h.tiff,0,3,3,10,174.98305839998648,,,,,,,,,174.84944650001125,174.98305839998648,174.98305839998648,174.98305839998648,179.9217776999867,179.9217776999867,179.9217776999867,179.9217776999867,183.04050219999044,183.04050219999044,183.04050219999044,183.04050219999044,186.95927160000429,186.95927160000429,186.95927160000429,186.95927160000429,188.27894119999837,188.27894119999837,188.27894119999837,188.27894119999837,191.91219339999952,191.77686270000413,7.0,5.039572100009536,6.0,8.124481300008483,7.0,12.018067099998007,7.0,13.319063899980392,1.0,16.802077399974223,,,,,,001,2024-08-03_15h55.01.097,2nd_exp,2024.1.5,None,2024-08-03 15h55.17.899513 +0530,
images/4h.tiff,0,4,4,1,191.91219339999952,,,,,,,,,191.77713800000492,191.91219339999952,191.91219339999952,191.91219339999952,197.7159384000115,197.7159384000115,197.7159384000115,197.7159384000115,200.8746444999997,200.8746444999997,200.8746444999997,200.8746444999997,213.87053019998712,213.87053019998712,213.87053019998712,213.87053019998712,214.88346869999077,214.88346869999077,214.88346869999077,214.88346869999077,217.32866979998653,217.19516639999347,7.0,5.90592160000233,7.0,9.031157600024017,7.0,22.00099910001154,7.0,22.994132699997863,1.0,25.291422399983276,,,,,,001,2024-08-03_15h55.01.097,2nd_exp,2024.1.5,None,2024-08-03 15h55.17.899513 +0530,
images/10.tiff,0,5,5,6,217.32866979998653,,,,,,,,,217.19545780000044,217.32866979998653,217.32866979998653,217.32866979998653,230.1984308999963,230.1984308999963,230.1984308999963,230.1984308999963,234.61028270001407,234.61028270001407,234.61028270001407,234.61028270001407,266.3201999999874,266.3201999999874,266.3201999999874,266.3201999999874,269.7189590999915,269.7189590999915,269.7189590999915,269.7189590999915,274.09697049998795,273.9634100999974,3.0,12.969729900010861,3.0,17.34793129999889,6.0,49.03260559999035,6.0,52.412861399992835,2.0,56.642457799986005,,,,,,001,2024-08-03_15h55.01.097,2nd_exp,2024.1.5,None,2024-08-03 15h55.17.899513 +0530,
images/5n.tiff,0,6,6,5,274.09697049998795,,,,,,,,,273.9636914000148,274.09697049998795,274.09697049998795,274.09697049998795,277.90285740001127,277.90285740001127,277.90285740001127,277.90285740001127,282.3679634,282.3679634,282.3679634,282.3679634,286.85985249999794,286.85985249999794,286.85985249999794,286.85985249999794,290.71181700000307,290.71181700000307,290.71181700000307,290.71181700000307,293.71979410000495,293.58340730000054,1.0,3.9060358999995515,3.0,8.33809000000474,7.0,12.804844199999934,7.0,16.638104699988617,2.0,19.494448699988425,,,,,,001,2024-08-03_15h55.01.097,2nd_exp,2024.1.5,None,2024-08-03 15h55.17.899513 +0530,
images/18n.tiff,0,7,7,11,293.71979410000495,,,,,,,,,293.58368149999296,293.71979410000495,293.71979410000495,293.71979410000495,298.81588370000827,298.81588370000827,298.81588370000827,298.81588370000827,302.0678379999881,302.0678379999881,302.0678379999881,302.0678379999881,304.56051879998995,304.56051879998995,304.56051879998995,304.56051879998995,305.6403066999919,305.6403066999919,305.6403066999919,305.6403066999919,308.2255898999865,308.08548440001323,4.0,5.19706999999471,4.0,8.414723399997456,4.0,10.8829415999935,4.0,11.943545799993444,3.0,14.373488200013526,,,,,,001,2024-08-03_15h55.01.097,2nd_exp,2024.1.5,None,2024-08-03 15h55.17.899513 +0530,
images/10n.tiff,0,8,8,8,308.2255898999865,,,,,,,,,308.0857712000143,308.2255898999865,308.2255898999865,308.2255898999865,313.7042531000043,313.7042531000043,313.7042531000043,313.7042531000043,315.79681349999737,315.79681349999737,315.79681349999737,315.79681349999737,319.20914600000833,319.20914600000833,319.20914600000833,319.20914600000833,320.5018276000046,320.5018276000046,320.5018276000046,320.5018276000046,322.74664749999647,322.6136673000001,5.0,5.584453100018436,5.0,7.641419199993834,6.0,11.027943299995968,6.0,12.30141429998912,3.0,14.397496100020362,,,,,,001,2024-08-03_15h55.01.097,2nd_exp,2024.1.5,None,2024-08-03 15h55.17.899513 +0530,
