face_images_1,face_images_2,pos_1,pos_2,trials_30.thisRepN,trials_30.thisTrialN,trials_30.thisN,trials_30.thisIndex,main_1.thisRepN,main_1.thisTrialN,main_1.thisN,main_1.thisIndex,main_2.thisRepN,main_2.thisTrialN,main_2.thisN,main_2.thisIndex,main_3.thisRepN,main_3.thisTrialN,main_3.thisN,main_3.thisIndex,main_4.thisRepN,main_4.thisTrialN,main_4.thisN,main_4.thisIndex,thisRow.t,notes,Instruction.started,text_Welcome.started,key_space.started,Instruction.stopped,key_space.keys,key_space.rt,key_space.duration,gap.started,text_gap.started,gap.stopped,plus.started,plus__.started,plus.stopped,trial_30.started,image_1.started,image_2.started,trial_resp.started,image_1.stopped,image_2.stopped,trial_30.stopped,trial_resp.keys,trial_resp.rt,trial_resp.duration,text_gap.stopped,plus__.stopped,Instruction_1.started,text_instruct.started,space_resp.started,Instruction_1.stopped,space_resp.keys,space_resp.rt,space_resp.duration,gap_1.started,gap__1.started,gap__1.stopped,gap_1.stopped,plus_1.started,plus__1.started,plus__1.stopped,plus_1.stopped,Block_1.started,image_1_set_1.started,image_2_set_1.started,resp_1.started,image_1_set_1.stopped,image_2_set_1.stopped,Block_1.stopped,resp_1.keys,resp_1.rt,resp_1.duration,Instuct_2.started,text_block2.started,space_resp_2.started,Instuct_2.stopped,space_resp_2.keys,space_resp_2.rt,space_resp_2.duration,gap_2.started,gap__2.started,gap__2.stopped,gap_2.stopped,plus_2.started,plus__2.started,plus__2.stopped,plus_2.stopped,Block_2.started,image_1_set_2.started,image_2_set_2.started,resp_2.started,image_1_set_2.stopped,image_2_set_2.stopped,Block_2.stopped,resp_2.keys,resp_2.rt,resp_2.duration,Instruct_3.started,text_block3.started,space_resp_3.started,Instruct_3.stopped,space_resp_3.keys,space_resp_3.rt,space_resp_3.duration,gap_3.started,gap__3.started,gap__3.stopped,gap_3.stopped,plus_3.started,plus__3.started,plus__3.stopped,plus_3.stopped,Block_3.started,image_1_set_3.started,image_2_set_3.started,resp_3.started,image_1_set_3.stopped,image_2_set_3.stopped,Block_3.stopped,resp_3.keys,resp_3.rt,resp_3.duration,Instruct_4.started,text_block4.started,space_resp_4.started,Instruct_4.stopped,space_resp_4.keys,space_resp_4.rt,space_resp_4.duration,gap_4.started,gap__4.started,gap_4.stopped,plus_4.started,plus___4.started,plus_4.stopped,Block_4.started,image_1_set_4.started,image_2_set_4.started,resp_4.started,image_1_set_4.stopped,image_2_set_4.stopped,Block_4.stopped,resp_4.keys,resp_4.rt,resp_4.duration,gap__4.stopped,plus___4.stopped,end.started,text_3.started,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023595999999770356,0.00438769999999522,0.00438769999999522,138.60549859999998,['space'],[138.58609],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/18n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,0,0,15,,,,,,,,,,,,,,,,,138.62143939999993,,,,,,,,,138.61898159999993,138.62143939999993,139.12037879999997,139.12041619999997,139.13678469999996,139.32035319999994,139.32039089999995,139.376461,139.376461,139.376461,139.88659820000004,139.88659820000004,142.78746010000003,['z'],[3.397905499999979],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/5n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,1,1,26,,,,,,,,,,,,,,,,,142.80219359999995,,,,,,,,,142.78943599999997,142.80219359999995,143.28641079999994,143.28645720000003,143.30208439999996,143.48628379999997,143.4863333,143.50931629999997,143.50931629999997,143.50931629999997,144.01859869999993,144.01859869999993,145.6200204,['m'],[2.105111299999976],[None],143.30208439999996,143.50931629999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/4n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,2,2,1,,,,,,,,,,,,,,,,,145.63474000000002,,,,,,,,,145.62125469999995,145.63474000000002,146.11877809999993,146.11882459999998,146.13455879999998,146.31874929999998,146.31880069999994,146.34592059999994,146.34592059999994,146.34592059999994,146.85094839999994,146.85094839999994,148.31929399999996,['m'],[1.9636401999999862],[None],146.13455879999998,146.34592059999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/5n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,3,3,4,,,,,,,,,,,,,,,,,148.33384089999998,,,,,,,,,148.32051589999998,148.33384089999998,148.81797090000003,148.8180203,148.83368619999993,149.01788800000003,149.01793730000003,149.0409143,149.0409143,149.0409143,149.55004379999997,149.55004379999997,151.0181243,['m'],[1.965341599999988],[None],148.83368619999993,149.0409143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/5n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,4,4,20,,,,,,,,,,,,,,,,,151.03294269999998,,,,,,,,,151.01953209999994,151.03294269999998,151.51632869999997,151.51634429999996,151.53265249999998,151.71705679999997,151.71717159999997,151.74136219999997,151.74136219999997,151.74136219999997,152.24915489999995,152.24915489999995,163.36441410000003,['m'],[11.616839300000038],[None],151.53265249999998,151.74136219999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/18n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,5,5,14,,,,,,,,,,,,,,,,,163.37886050000003,,,,,,,,,163.36577489999996,163.37886050000003,163.86296090000002,163.86300109999996,163.87870489999995,164.0629452,164.0629915,164.1014763,164.1014763,164.1014763,164.61181289999996,164.61181289999996,166.07859159999992,['m'],[1.9763766999999461],[None],163.87870489999995,164.1014763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/4n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,6,6,17,,,,,,,,,,,,,,,,,166.09430419999995,,,,,,,,,166.0788594,166.09430419999995,166.57887349999993,166.5789239,166.59441099999998,166.77882459999995,166.77887459999994,166.8027745,166.8027745,166.8027745,167.31095009999996,167.31095009999996,168.67900879999996,['m'],[1.8593107000000373],[None],166.59441099999998,166.8027745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/18n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,7,7,28,,,,,,,,,,,,,,,,,168.69372189999996,,,,,,,,,168.68024610000003,168.69372189999996,169.17802999999998,169.17807509999994,169.1935845,169.37764090000002,169.37768709999995,169.39993650000002,169.39993650000002,169.39993650000002,169.91009100000002,169.91009100000002,171.16165759999996,['m'],[1.7496906999999737],[None],169.1935845,169.39993650000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/5n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,8,8,21,,,,,,,,,,,,,,,,,171.17635879999995,,,,,,,,,171.16296429999994,171.17635879999995,171.66044759999994,171.66049449999997,171.67617509999997,171.8604512,171.86049669999994,171.88308690000002,171.88308690000002,171.88308690000002,172.39253560000003,172.39253560000003,173.49419970000002,['m'],[1.6024527999999236],[None],171.67617509999997,171.88308690000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
