face_images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,instruct_resp.started,instructions.stopped,instruct_resp.keys,instruct_resp.rt,instruct_resp.duration,trial.started,image.started,valence_text.started,valence_slider.started,valence_text.stopped,valence_slider.stopped,arousal_text.started,arousal_slider.started,arousal_text.stopped,arousal_slider.stopped,emo_intense_text.started,emotional_intensity_slider.started,emo_intense_text.stopped,emotional_intensity_slider.stopped,familiar_text.started,familiarity_slider.started,familiar_text.stopped,familiarity_slider.stopped,emo_express_text.started,emotion_express_slider.started,emo_express_text.stopped,trial.stopped,valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,emotional_intensity_slider.response,emotional_intensity_slider.rt,familiarity_slider.response,familiarity_slider.rt,emotion_express_slider.response,emotion_express_slider.rt,end.started,text_2.started,text_2.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.010516800000004878,0.03024670000002061,0.03024670000002061,30.708264100000065,space,30.624957400000085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569451,001,2024-08-03_10h11.38.636,2nd_exp,2024.1.5,None,2024-08-03 10h12.16.280894 +0530,
images/5.tiff,0,0,0,3,30.94407190000004,,,,,,,,,30.722595899999988,30.94407190000004,30.94407190000004,30.94407190000004,47.085387200000014,47.085387200000014,47.085387200000014,47.085387200000014,64.44672409999998,64.44672409999998,64.44672409999998,64.44672409999998,84.25652890000003,84.25652890000003,84.25652890000003,84.25652890000003,100.43743990000007,100.43743990000007,100.43743990000007,100.43743990000007,106.4651543,106.31382010000004,2.0,16.309919500000092,3.0,33.61904169999991,6.0,53.40205619999995,5.0,69.55448890000002,2.0,75.40909480000005,,,,,569451,001,2024-08-03_10h11.38.636,2nd_exp,2024.1.5,None,2024-08-03 10h12.16.280894 +0530,
images/4h.tiff,0,1,1,1,106.4651543,,,,,,,,,106.31489729999998,106.4651543,106.4651543,106.4651543,112.56415990000005,112.56415990000005,112.56415990000005,112.56415990000005,128.55878310000003,128.55878310000003,128.55878310000003,128.55878310000003,133.75708410000004,133.75708410000004,133.75708410000004,133.75708410000004,137.2075936,137.2075936,137.2075936,137.2075936,140.04233970000007,139.88638950000006,7.0,6.197742700000049,6.0,22.156132599999978,6.0,27.32977859999994,5.0,30.759242500000028,1.0,33.41937160000009,,,,,569451,001,2024-08-03_10h11.38.636,2nd_exp,2024.1.5,None,2024-08-03 10h12.16.280894 +0530,
images/18.tiff,0,2,2,9,140.04233970000007,,,,,,,,,139.88708210000004,140.04233970000007,140.04233970000007,140.04233970000007,148.4356957,148.4356957,148.4356957,148.4356957,154.5834992,154.5834992,154.5834992,154.5834992,165.27982960000008,165.27982960000008,165.27982960000008,165.27982960000008,167.86539260000006,167.86539260000006,167.86539260000006,167.86539260000006,175.14327520000006,174.9913811,3.0,8.490510099999938,6.0,14.602914899999973,6.0,25.274611200000095,6.0,27.83820030000004,4.0,34.947365500000046,,,,,569451,001,2024-08-03_10h11.38.636,2nd_exp,2024.1.5,None,2024-08-03 10h12.16.280894 +0530,
images/10.tiff,0,3,3,6,175.14327520000006,,,,,,,,,174.99206420000007,175.14327520000006,175.14327520000006,175.14327520000006,189.88855620000004,189.88855620000004,189.88855620000004,189.88855620000004,198.3358071,198.3358071,198.3358071,198.3358071,204.03370530000007,204.03370530000007,204.03370530000007,204.03370530000007,205.85124380000002,205.85124380000002,205.85124380000002,205.85124380000002,209.58485810000002,209.43004589999998,2.0,14.842169600000034,7.0,23.254161599999975,6.0,28.927766700000006,6.0,30.724568800000043,2.0,34.28557360000002,,,,,569451,001,2024-08-03_10h11.38.636,2nd_exp,2024.1.5,None,2024-08-03 10h12.16.280894 +0530,
images/4n.tiff,0,4,4,2,209.58485810000002,,,,,,,,,209.43073060000006,209.58485810000002,209.58485810000002,209.58485810000002,217.52936250000005,217.52936250000005,217.52936250000005,217.52936250000005,223.01087740000003,223.01087740000003,223.01087740000003,223.01087740000003,227.25945760000002,227.25945760000002,227.25945760000002,227.25945760000002,228.32824340000002,228.32824340000002,228.32824340000002,228.32824340000002,231.58728070000006,231.43954510000003,4.0,8.041886100000056,4.0,13.488014900000053,4.0,17.711459600000012,4.0,18.75889309999991,3.0,21.852935600000023,,,,,569451,001,2024-08-03_10h11.38.636,2nd_exp,2024.1.5,None,2024-08-03 10h12.16.280894 +0530,
images/5n.tiff,0,5,5,5,231.58728070000006,,,,,,,,,231.44023550000009,231.58728070000006,231.58728070000006,231.58728070000006,240.9216676000001,240.9216676000001,240.9216676000001,240.9216676000001,245.12012030000005,245.12012030000005,245.12012030000005,245.12012030000005,249.2855316,249.2855316,249.2855316,249.2855316,251.5363453,251.5363453,251.5363453,251.5363453,257.0849127,256.93853620000004,3.0,9.430912899999953,7.0,13.59452250000004,7.0,17.734833900000012,6.0,19.965619400000037,2.0,25.35585470000001,,,,,569451,001,2024-08-03_10h11.38.636,2nd_exp,2024.1.5,None,2024-08-03 10h12.16.280894 +0530,
images/10h.tiff,0,6,6,7,257.0849127,,,,,,,,,256.93880550000006,257.0849127,257.0849127,257.0849127,267.02972840000007,267.02972840000007,267.02972840000007,267.02972840000007,280.34191180000005,280.34191180000005,280.34191180000005,280.34191180000005,287.2232021,287.2232021,287.2232021,287.2232021,288.2914413000001,288.2914413000001,288.2914413000001,288.2914413000001,290.5227939,290.3698694000001,7.0,10.04121269999996,7.0,23.318028700000013,6.0,30.17411519999996,6.0,31.221817200000032,1.0,33.28270239999995,,,,,569451,001,2024-08-03_10h11.38.636,2nd_exp,2024.1.5,None,2024-08-03 10h12.16.280894 +0530,
images/18h.tiff,0,7,7,10,290.5227939,,,,,,,,,290.3705599,290.5227939,290.5227939,290.5227939,297.769536,297.769536,297.769536,297.769536,302.9176563000001,302.9176563000001,302.9176563000001,302.9176563000001,306.31657960000007,306.31657960000007,306.31657960000007,306.31657960000007,310.7173622,310.7173622,310.7173622,310.7173622,316.0010155,315.8532215,7.0,7.343617699999982,6.0,12.45666970000002,6.0,15.830672999999933,6.0,20.2103568,1.0,25.334692399999994,,,,,569451,001,2024-08-03_10h11.38.636,2nd_exp,2024.1.5,None,2024-08-03 10h12.16.280894 +0530,
images/10n.tiff,0,8,8,8,316.0010155,,,,,,,,,315.85351420000006,316.0010155,316.0010155,316.0010155,329.9586739,329.9586739,329.9586739,329.9586739,335.47373930000003,335.47373930000003,335.47373930000003,335.47373930000003,340.8220686000001,340.8220686000001,340.8220686000001,340.8220686000001,342.6572877,342.6572877,342.6572877,342.6572877,347.5454998,347.3843084,4.0,14.056010900000047,3.0,19.53761559999998,5.0,24.860326900000018,5.0,26.673497100000077,4.0,31.382795200000032,,,,,569451,001,2024-08-03_10h11.38.636,2nd_exp,2024.1.5,None,2024-08-03 10h12.16.280894 +0530,
images/4.tiff,0,9,9,0,347.5454998,,,,,,,,,347.3849847,347.5454998,347.5454998,347.5454998,354.3175499,354.3175499,354.3175499,354.3175499,362.648143,362.648143,362.648143,362.648143,369.19605590000003,369.19605590000003,369.19605590000003,369.19605590000003,371.1471484,371.1471484,371.1471484,371.1471484,375.6785225,375.5328865,1.0,6.875480399999901,3.0,15.16440590000002,7.0,21.686710500000004,6.0,23.61745929999995,2.0,27.991725299999985,,,,,569451,001,2024-08-03_10h11.38.636,2nd_exp,2024.1.5,None,2024-08-03 10h12.16.280894 +0530,
images/5h.tiff,0,10,10,4,375.6785225,,,,,,,,,375.5331566,375.6785225,375.6785225,375.6785225,378.9427931,378.9427931,378.9427931,378.9427931,381.54189610000003,381.54189610000003,381.54189610000003,381.54189610000003,390.122383,390.122383,390.122383,390.122383,392.4239188,392.4239188,392.4239188,392.4239188,397.10670930000003,396.95126160000007,7.0,3.3599261999999044,7.0,5.92409930000008,7.0,14.479992800000105,6.0,16.760629400000084,1.0,21.270684999999958,,,,,569451,001,2024-08-03_10h11.38.636,2nd_exp,2024.1.5,None,2024-08-03 10h12.16.280894 +0530,
images/18n.tiff,0,11,11,11,397.10670930000003,,,,,,,,,396.95194430000004,397.10670930000003,397.10670930000003,397.10670930000003,401.85175820000006,401.85175820000006,401.85175820000006,401.85175820000006,409.0827227000001,409.0827227000001,409.0827227000001,409.0827227000001,416.28033059999996,416.28033059999996,416.28033059999996,416.28033059999996,417.4811459000001,417.4811459000001,417.4811459000001,417.4811459000001,420.46667190000005,420.45960760000014,4.0,4.845952900000043,3.0,12.03692030000002,5.0,19.209594299999935,5.0,20.39119459999995,3.0,23.35158059999992,,,,,569451,001,2024-08-03_10h11.38.636,2nd_exp,2024.1.5,None,2024-08-03 10h12.16.280894 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.4601719000001,420.46667190000005,428.4760408000001,428.45976959999996,569451,001,2024-08-03_10h11.38.636,2nd_exp,2024.1.5,None,2024-08-03 10h12.16.280894 +0530,
